user_idx,category_coverage_at10
1951,0.1
4613,0.1
5023,0.1
5264,0.1
5304,0.1
7045,0.1
7958,0.1
8543,0.1
9677,0.1
10140,0.1
12942,0.1
13930,0.1
14118,0.1
14694,0.1
16457,0.1
16875,0.1
16913,0.1
17555,0.1
17925,0.1
18088,0.1
18412,0.1
18616,0.1
18799,0.1
18884,0.1
19087,0.1
19483,0.1
19662,0.1
19914,0.1
20026,0.1
21070,0.1
21432,0.1
22859,0.1
23420,0.1
24801,0.1
25021,0.1
25038,0.1
25327,0.1
26737,0.1
26745,0.1
26867,0.1
27459,0.1
28607,0.1
28725,0.1
28961,0.1
29870,0.1
30045,0.1
30073,0.1
30609,0.1
30844,0.1
30962,0.1
31627,0.1
32421,0.1
32758,0.1
33198,0.1
33549,0.1
34788,0.1
34904,0.1
35730,0.1
36620,0.1
36859,0.1
37133,0.1
39363,0.1
41436,0.1
41446,0.1
42582,0.1
43489,0.1
43531,0.1
44324,0.1
47002,0.1
47354,0.1
47868,0.1
48141,0.1
48911,0.1
49472,0.1
49519,0.1
49591,0.1
50387,0.1
51006,0.1
51352,0.1
52175,0.1
52489,0.1
53375,0.1
53616,0.1
54001,0.1
54462,0.1
54922,0.1
55355,0.1
56944,0.1
57550,0.1
58224,0.1
58362,0.1
58709,0.1
59044,0.1
59755,0.1
60435,0.1
61102,0.1
61126,0.1
62198,0.1
63619,0.1
63809,0.1
64304,0.1
64415,0.1
65060,0.1
65062,0.1
66803,0.1
67758,0.1
70485,0.1
71400,0.1
71858,0.1
71973,0.1
72178,0.1
73355,0.1
73602,0.1
73810,0.1
75955,0.1
76107,0.1
76432,0.1
76497,0.1
76875,0.1
76882,0.1
77055,0.1
77343,0.1
77476,0.1
77916,0.1
77941,0.1
78375,0.1
78660,0.1
78881,0.1
78961,0.1
79143,0.1
79163,0.1
79208,0.1
80395,0.1
80640,0.1
80822,0.1
81503,0.1
81524,0.1
81771,0.1
82027,0.1
82395,0.1
82533,0.1
82854,0.1
82910,0.1
83537,0.1
83610,0.1
85255,0.1
86062,0.1
86769,0.1
87031,0.1
87332,0.1
87418,0.1
87454,0.1
87662,0.1
87757,0.1
88035,0.1
88469,0.1
89266,0.1
89329,0.1
90592,0.1
92233,0.1
92897,0.1
96316,0.1
96405,0.1
96609,0.1
96770,0.1
96983,0.1
98021,0.1
98307,0.1
98645,0.1
99000,0.1
99820,0.1
99979,0.1
100038,0.1
100577,0.1
101504,0.1
101744,0.1
102738,0.1
103143,0.1
103514,0.1
104193,0.1
104776,0.1
106579,0.1
107631,0.1
108785,0.1
111280,0.1
111396,0.1
111568,0.1
111703,0.1
111802,0.1
112612,0.1
112992,0.1
114354,0.1
115956,0.1
116363,0.1
116577,0.1
117792,0.1
117832,0.1
118186,0.1
118194,0.1
118200,0.1
118879,0.1
119102,0.1
119832,0.1
120623,0.1
121065,0.1
121574,0.1
121607,0.1
121993,0.1
122212,0.1
124159,0.1
124392,0.1
124469,0.1
124915,0.1
124986,0.1
125152,0.1
125904,0.1
125976,0.1
127869,0.1
128108,0.1
128158,0.1
128664,0.1
129022,0.1
129025,0.1
131053,0.1
131762,0.1
132628,0.1
132900,0.1
135675,0.1
136131,0.1
136202,0.1
136247,0.1
136326,0.1
137402,0.1
137482,0.1
137906,0.1
138790,0.1
138792,0.1
139816,0.1
140293,0.1
140315,0.1
140316,0.1
140356,0.1
141074,0.1
141080,0.1
141130,0.1
141403,0.1
141843,0.1
142174,0.1
143176,0.1
143227,0.1
143308,0.1
143511,0.1
145020,0.1
145079,0.1
146237,0.1
146247,0.1
147346,0.1
148785,0.1
148950,0.1
149795,0.1
150930,0.1
151015,0.1
151082,0.1
152150,0.1
152742,0.1
155028,0.1
155215,0.1
155448,0.1
155595,0.1
155675,0.1
155699,0.1
156036,0.1
161713,0.1
162786,0.1
163890,0.1
164645,0.1
165266,0.1
165314,0.1
166347,0.1
167796,0.1
168354,0.1
169044,0.1
169460,0.1
171840,0.1
171941,0.1
172206,0.1
175702,0.1
176619,0.1
176669,0.1
177155,0.1
177865,0.1
178481,0.1
178797,0.1
179488,0.1
181793,0.1
183811,0.1
183984,0.1
184713,0.1
185462,0.1
186125,0.1
