method,k,silhouette,davies_bouldin,objective,iters,vqe_error
vqe_adiabatic,4,0.2890276091612931,2.3021866224138874,73.23623854849865,10,
vqe_adiabatic,5,0.5388149463693263,1.2340486884442687,58.427503620469565,10,
vqe_adiabatic,6,0.5360760173530604,1.7234638579252775,50.04015569899907,10,
quantum_lloyd_fallback,7,0.5429219337936178,8.787321895507361,211.80830091238022,6,VQE collapsed to <2 clusters
quantum_lloyd_fallback,8,0.5433522236474674,9.375409447843973,211.47224807739258,7,VQE collapsed to <2 clusters
vqe_adiabatic,9,-0.27011474503573707,1.0628106224443163,37.81648495675138,10,
quantum_lloyd_fallback,10,0.5481310250311847,2.690576972025916,207.63052368164062,7,VQE collapsed to <2 clusters
quantum_lloyd_fallback,11,0.5467838389841029,4.072954631381533,209.9275385737419,5,VQE collapsed to <2 clusters
vqe_adiabatic,12,0.22656740543907977,0.8016846971465214,32.129526153096734,10,
vqe_adiabatic,13,0.25003312194780636,0.8394686630634244,30.55571290261764,10,
vqe_adiabatic,14,0.00013237694818978672,3.191344148202429,28.90240457725892,10,
vqe_adiabatic,15,-0.25938211700916325,1.7357231185853053,27.67723110933705,10,
quantum_lloyd_fallback,16,0.5437661559746765,5.8431574542898925,209.16381335258484,4,VQE collapsed to <2 clusters
