user_idx,category_coverage_at10
3725,0.2
9649,0.2
10789,0.2
11510,0.2
11586,0.2
15994,0.2
17498,0.2
18770,0.2
20802,0.2
22019,0.2
29246,0.2
32122,0.2
32182,0.2
34290,0.2
38514,0.2
39372,0.2
39669,0.2
41519,0.2
42489,0.2
44218,0.2
44405,0.2
45619,0.2
46026,0.2
46101,0.2
47243,0.2
47697,0.2
48303,0.2
48606,0.2
49271,0.2
51940,0.2
53433,0.2
57872,0.2
58755,0.2
62787,0.2
63133,0.2
64210,0.2
64819,0.2
69213,0.2
69586,0.2
69649,0.2
70806,0.2
75062,0.2
76008,0.2
77756,0.2
80010,0.2
80906,0.2
81194,0.2
83472,0.2
84161,0.2
85606,0.2
87951,0.2
88649,0.2
89768,0.2
92962,0.2
94471,0.2
96263,0.2
99119,0.2
101184,0.2
101405,0.2
103103,0.2
107775,0.2
115318,0.2
115895,0.2
118100,0.2
120713,0.2
121929,0.2
124515,0.2
131512,0.2
132750,0.2
133567,0.2
133753,0.2
137027,0.2
138179,0.2
140018,0.2
140669,0.2
141390,0.2
142473,0.2
142688,0.2
147469,0.2
148548,0.2
149267,0.2
150863,0.2
153192,0.2
155295,0.1
155346,0.2
156550,0.2
160828,0.2
164200,0.2
167845,0.2
167947,0.2
168255,0.2
170126,0.2
170759,0.2
172650,0.2
174185,0.2
175398,0.2
177526,0.2
182734,0.2
183768,0.2
185744,0.2
186865,0.2
188244,0.2
190084,0.2
191180,0.2
193357,0.2
199058,0.2
207072,0.2
207258,0.2
208049,0.2
209707,0.2
210354,0.2
210397,0.2
211984,0.2
217959,0.2
220092,0.2
220609,0.2
221473,0.2
222032,0.2
222236,0.2
222752,0.2
223356,0.2
223725,0.2
224608,0.2
225534,0.2
225723,0.2
226825,0.2
227382,0.2
228192,0.2
230382,0.2
232131,0.2
232185,0.2
232362,0.2
235448,0.2
235588,0.2
236016,0.2
236645,0.2
239045,0.2
239844,0.2
241102,0.2
241836,0.2
242055,0.2
242286,0.2
244024,0.2
245201,0.2
246365,0.2
248829,0.2
251038,0.2
251292,0.2
252646,0.2
253494,0.2
254898,0.2
256666,0.2
257754,0.2
259083,0.2
259898,0.2
260822,0.2
263963,0.2
266706,0.2
273988,0.2
275037,0.2
276270,0.2
278437,0.2
282515,0.2
282636,0.2
284245,0.2
285438,0.2
286241,0.2
287353,0.2
287383,0.2
289530,0.2
290222,0.2
290359,0.2
290986,0.2
292135,0.2
294535,0.2
294576,0.2
294647,0.2
296534,0.2
297719,0.2
299499,0.2
309477,0.2
310244,0.2
311191,0.2
318389,0.2
319140,0.2
321536,0.2
324205,0.2
325337,0.2
326167,0.2
327137,0.2
329428,0.2
332302,0.2
334755,0.2
335371,0.2
336555,0.2
337943,0.2
338471,0.2
338673,0.2
338734,0.2
340437,0.2
341661,0.2
342577,0.2
343872,0.2
347252,0.2
348171,0.2
348894,0.2
350317,0.2
351638,0.2
353119,0.2
353344,0.2
353768,0.2
355440,0.2
358266,0.2
359192,0.2
359642,0.2
360154,0.2
362685,0.2
363283,0.2
364127,0.2
365085,0.2
367154,0.2
369166,0.2
372664,0.2
379001,0.2
381985,0.2
382687,0.2
383138,0.2
383999,0.2
388302,0.2
390350,0.2
391141,0.2
391178,0.2
392763,0.2
393485,0.2
394524,0.2
394764,0.2
397057,0.2
398516,0.2
398872,0.2
399253,0.2
399305,0.2
399852,0.2
401835,0.2
404329,0.2
404795,0.2
405614,0.2
406497,0.2
406913,0.2
407882,0.2
410407,0.2
410758,0.2
413017,0.2
417447,0.2
422539,0.2
425109,0.2
425446,0.2
425551,0.2
425970,0.2
426846,0.2
429872,0.2
431895,0.2
432649,0.2
434505,0.2
435114,0.2
435524,0.2
440586,0.2
441975,0.2
454827,0.2
454937,0.2
455564,0.2
456850,0.2
457289,0.2
458312,0.2
462279,0.2
464950,0.2
466012,0.2
470030,0.2
471533,0.2
475030,0.2
475841,0.2
478708,0.2
480681,0.2
481673,0.2
485698,0.2
486727,0.2
490036,0.2
495507,0.2
497915,0.2
498256,0.2
500233,0.2
501872,0.2
505037,0.2
506393,0.2
509067,0.2
510626,0.2
510821,0.2
513860,0.2
514292,0.2
515058,0.2
515525,0.2
