user_idx,user_id,movie_id,item_idx,rank,score,strategy
5281096,5281096,1693952,1693952,1,4.944840886174295,quantum_sparse
5281096,5281096,1476636,1476636,2,4.849749455309224,quantum_sparse
5281096,5281096,68680,68680,3,4.836067694290232,quantum_sparse
5281096,5281096,564608,564608,4,4.8340236458351535,quantum_sparse
5281096,5281096,4277437,4277437,5,4.8293304986957,quantum_sparse
5281096,5281096,1486445,1486445,6,4.832330772487812,quantum_sparse
5281096,5281096,294601,294601,7,4.820640704730691,quantum_sparse
5281096,5281096,3169329,3169329,8,4.814885700819964,quantum_sparse
5281096,5281096,2567930,2567930,9,4.8107529452211075,quantum_sparse
5281096,5281096,902149,902149,10,4.816027753674463,quantum_sparse
8036592,8036592,1693952,1693952,1,4.944840886174295,quantum_sparse
8036592,8036592,1476636,1476636,2,4.849749455309224,quantum_sparse
8036592,8036592,68680,68680,3,4.836067694290232,quantum_sparse
8036592,8036592,564608,564608,4,4.8340236458351535,quantum_sparse
8036592,8036592,4277437,4277437,5,4.8293304986957,quantum_sparse
8036592,8036592,1486445,1486445,6,4.832330772487812,quantum_sparse
8036592,8036592,294601,294601,7,4.820640704730691,quantum_sparse
8036592,8036592,3169329,3169329,8,4.814885700819964,quantum_sparse
8036592,8036592,2567930,2567930,9,4.8107529452211075,quantum_sparse
8036592,8036592,902149,902149,10,4.816027753674463,quantum_sparse
1312609,1312609,1693952,1693952,1,4.944840886174295,quantum_sparse
1312609,1312609,1476636,1476636,2,4.849749455309224,quantum_sparse
1312609,1312609,68680,68680,3,4.836067694290232,quantum_sparse
1312609,1312609,564608,564608,4,4.8340236458351535,quantum_sparse
1312609,1312609,4277437,4277437,5,4.8293304986957,quantum_sparse
1312609,1312609,1486445,1486445,6,4.832330772487812,quantum_sparse
1312609,1312609,294601,294601,7,4.820640704730691,quantum_sparse
1312609,1312609,3169329,3169329,8,4.814885700819964,quantum_sparse
1312609,1312609,2567930,2567930,9,4.8107529452211075,quantum_sparse
1312609,1312609,902149,902149,10,4.816027753674463,quantum_sparse
4541036,4541036,1693952,1693952,1,4.928929328918457,classical_active
4541036,4541036,1476636,1476636,2,4.8331074714660645,classical_active
4541036,4541036,68680,68680,3,4.820023536682129,classical_active
4541036,4541036,4277437,4277437,4,4.815774917602539,classical_active
4541036,4541036,564608,564608,5,4.817514896392822,classical_active
4541036,4541036,1486445,1486445,6,4.818626403808594,classical_active
4541036,4541036,294601,294601,7,4.805500507354736,classical_active
4541036,4541036,3169329,3169329,8,4.802013397216797,classical_active
4541036,4541036,2567930,2567930,9,4.797584533691406,classical_active
4541036,4541036,902149,902149,10,4.801002025604248,classical_active
926012,926012,1693952,1693952,1,4.944840886174295,quantum_sparse
926012,926012,1476636,1476636,2,4.849749455309224,quantum_sparse
926012,926012,68680,68680,3,4.836067694290232,quantum_sparse
926012,926012,564608,564608,4,4.8340236458351535,quantum_sparse
926012,926012,4277437,4277437,5,4.8293304986957,quantum_sparse
926012,926012,1486445,1486445,6,4.832330772487812,quantum_sparse
926012,926012,294601,294601,7,4.820640704730691,quantum_sparse
926012,926012,3169329,3169329,8,4.814885700819964,quantum_sparse
926012,926012,2567930,2567930,9,4.8107529452211075,quantum_sparse
926012,926012,902149,902149,10,4.816027753674463,quantum_sparse
6250314,6250314,1693952,1693952,1,4.944840886174295,quantum_sparse
6250314,6250314,1476636,1476636,2,4.849749455309224,quantum_sparse
6250314,6250314,68680,68680,3,4.836067694290232,quantum_sparse
6250314,6250314,564608,564608,4,4.8340236458351535,quantum_sparse
6250314,6250314,4277437,4277437,5,4.8293304986957,quantum_sparse
6250314,6250314,1486445,1486445,6,4.832330772487812,quantum_sparse
6250314,6250314,294601,294601,7,4.820640704730691,quantum_sparse
6250314,6250314,3169329,3169329,8,4.814885700819964,quantum_sparse
6250314,6250314,2567930,2567930,9,4.8107529452211075,quantum_sparse
6250314,6250314,902149,902149,10,4.816027753674463,quantum_sparse
5719813,5719813,1693952,1693952,1,4.944840886174295,quantum_sparse
5719813,5719813,1476636,1476636,2,4.849749455309224,quantum_sparse
